timestamp,temperature
2024-03-01 00:00:00,22.43
2024-03-01 01:00:00,24.82
2024-03-01 02:00:00,22.86
2024-03-01 03:00:00,24.17
2024-03-01 04:00:00,22.97
2024-03-01 05:00:00,23.69
2024-03-01 06:00:00,24.79
2024-03-01 07:00:00,20.9
2024-03-01 08:00:00,20.8
2024-03-01 09:00:00,23.0
2024-03-01 10:00:00,21.99
2024-03-01 11:00:00,22.33
2024-03-01 12:00:00,21.63
2024-03-01 13:00:00,21.11
2024-03-01 14:00:00,24.43
2024-03-01 15:00:00,20.35
2024-03-01 16:00:00,23.03
2024-03-01 17:00:00,22.79
2024-03-01 18:00:00,19.63
2024-03-01 19:00:00,20.75
2024-03-01 20:00:00,21.01
2024-03-01 21:00:00,22.85
2024-03-01 22:00:00,21.45
2024-03-01 23:00:00,21.87
2024-03-02 00:00:00,19.81
2024-03-02 01:00:00,25.49
2024-03-02 02:00:00,22.11
2024-03-02 03:00:00,22.75
2024-03-02 04:00:00,21.19
2024-03-02 05:00:00,21.02
2024-03-02 06:00:00,24.87
2024-03-02 07:00:00,19.12
2024-03-02 08:00:00,22.42
2024-03-02 09:00:00,20.18
2024-03-02 10:00:00,21.39
2024-03-02 11:00:00,21.04
2024-03-02 12:00:00,20.52
2024-03-02 13:00:00,22.05
2024-03-02 14:00:00,18.15
2024-03-02 15:00:00,21.53
2024-03-02 16:00:00,21.86
2024-03-02 17:00:00,19.96
2024-03-02 18:00:00,24.27
2024-03-02 19:00:00,21.11
2024-03-02 20:00:00,21.64
2024-03-02 21:00:00,21.11
2024-03-02 22:00:00,21.88
2024-03-02 23:00:00,23.96
2024-03-03 00:00:00,25.71
2024-03-03 01:00:00,23.12
2024-03-03 02:00:00,23.63
2024-03-03 03:00:00,24.57
2024-03-03 04:00:00,22.37
2024-03-03 05:00:00,24.36
2024-03-03 06:00:00,23.19
2024-03-03 07:00:00,22.22
2024-03-03 08:00:00,22.53
2024-03-03 09:00:00,19.27
2024-03-03 10:00:00,22.44
2024-03-03 11:00:00,19.68
2024-03-03 12:00:00,19.56
2024-03-03 13:00:00,22.29
2024-03-03 14:00:00,20.33
2024-03-03 15:00:00,21.99
2024-03-03 16:00:00,22.21
2024-03-03 17:00:00,22.27
2024-03-03 18:00:00,20.64
2024-03-03 19:00:00,23.35
2024-03-03 20:00:00,21.87
2024-03-03 21:00:00,22.66
2024-03-03 22:00:00,20.21
2024-03-03 23:00:00,21.73
2024-03-04 00:00:00,23.65
2024-03-04 01:00:00,23.46
2024-03-04 02:00:00,20.8
2024-03-04 03:00:00,21.18
2024-03-04 04:00:00,20.52
2024-03-04 05:00:00,21.02
2024-03-04 06:00:00,19.9
2024-03-04 07:00:00,21.79
2024-03-04 08:00:00,22.95
2024-03-04 09:00:00,20.82
2024-03-04 10:00:00,21.86
2024-03-04 11:00:00,21.67
2024-03-04 12:00:00,23.58
2024-03-04 13:00:00,21.08
2024-03-04 14:00:00,21.14
2024-03-04 15:00:00,20.73
2024-03-04 16:00:00,20.29
2024-03-04 17:00:00,-40.0
2024-03-04 18:00:00,21.8
2024-03-04 19:00:00,22.08
2024-03-04 20:00:00,23.91
2024-03-04 21:00:00,24.0
2024-03-04 22:00:00,19.53
2024-03-04 23:00:00,22.97
2024-03-05 00:00:00,22.34
2024-03-05 01:00:00,21.31
2024-03-05 02:00:00,22.49
2024-03-05 03:00:00,19.41
2024-03-05 04:00:00,24.19
2024-03-05 05:00:00,22.77
2024-03-05 06:00:00,20.7
2024-03-05 07:00:00,21.12
2024-03-05 08:00:00,19.45
2024-03-05 09:00:00,21.53
2024-03-05 10:00:00,21.28
2024-03-05 11:00:00,20.01
2024-03-05 12:00:00,23.17
2024-03-05 13:00:00,23.92
2024-03-05 14:00:00,21.96
2024-03-05 15:00:00,21.54
2024-03-05 16:00:00,22.65
2024-03-05 17:00:00,21.97
2024-03-05 18:00:00,20.38
2024-03-05 19:00:00,21.02
2024-03-05 20:00:00,21.56
2024-03-05 21:00:00,22.37
2024-03-05 22:00:00,22.01
2024-03-05 23:00:00,22.32
2024-03-06 00:00:00,19.71
2024-03-06 01:00:00,23.0
2024-03-06 02:00:00,22.01
2024-03-06 03:00:00,25.83
2024-03-06 04:00:00,21.42
2024-03-06 05:00:00,22.49
2024-03-06 06:00:00,26.24
2024-03-06 07:00:00,22.29
2024-03-06 08:00:00,21.9
2024-03-06 09:00:00,20.52
2024-03-06 10:00:00,24.29
2024-03-06 11:00:00,20.26
2024-03-06 12:00:00,22.64
2024-03-06 13:00:00,21.29
2024-03-06 14:00:00,21.72
2024-03-06 15:00:00,19.86
2024-03-06 16:00:00,24.01
2024-03-06 17:00:00,21.58
2024-03-06 18:00:00,20.18
2024-03-06 19:00:00,23.88
2024-03-06 20:00:00,21.24
2024-03-06 21:00:00,22.5
2024-03-06 22:00:00,23.26
2024-03-06 23:00:00,22.71
2024-03-07 00:00:00,18.71
2024-03-07 01:00:00,23.04
2024-03-07 02:00:00,21.85
2024-03-07 03:00:00,21.51
2024-03-07 04:00:00,21.84
2024-03-07 05:00:00,19.58
2024-03-07 06:00:00,22.29
2024-03-07 07:00:00,19.95
2024-03-07 08:00:00,21.57
2024-03-07 09:00:00,22.23
2024-03-07 10:00:00,23.61
2024-03-07 11:00:00,20.77
2024-03-07 12:00:00,24.18
2024-03-07 13:00:00,23.42
2024-03-07 14:00:00,21.36
2024-03-07 15:00:00,20.34
2024-03-07 16:00:00,19.83
2024-03-07 17:00:00,22.41
2024-03-07 18:00:00,20.89
2024-03-07 19:00:00,23.8
2024-03-07 20:00:00,20.98
2024-03-07 21:00:00,20.65
2024-03-07 22:00:00,22.35
2024-03-07 23:00:00,20.97
2024-03-08 00:00:00,22.01
2024-03-08 01:00:00,23.48
2024-03-08 02:00:00,22.18
2024-03-08 03:00:00,22.18
2024-03-08 04:00:00,22.31
2024-03-08 05:00:00,19.46
2024-03-08 06:00:00,22.59
2024-03-08 07:00:00,22.24
2024-03-08 08:00:00,23.34
2024-03-08 09:00:00,22.91
2024-03-08 10:00:00,21.7
2024-03-08 11:00:00,23.55
2024-03-08 12:00:00,21.56
2024-03-08 13:00:00,22.37
2024-03-08 14:00:00,21.53
2024-03-08 15:00:00,22.69
2024-03-08 16:00:00,21.44
2024-03-08 17:00:00,24.47
2024-03-08 18:00:00,25.03
2024-03-08 19:00:00,23.31
2024-03-08 20:00:00,24.31
2024-03-08 21:00:00,19.69
2024-03-08 22:00:00,19.87
2024-03-08 23:00:00,21.52
2024-03-09 00:00:00,22.06
2024-03-09 01:00:00,21.7
2024-03-09 02:00:00,19.54
2024-03-09 03:00:00,23.73
2024-03-09 04:00:00,25.23
2024-03-09 05:00:00,23.92
2024-03-09 06:00:00,23.63
2024-03-09 07:00:00,22.34
2024-03-09 08:00:00,20.74
2024-03-09 09:00:00,22.11
2024-03-09 10:00:00,25.16
2024-03-09 11:00:00,21.47
2024-03-09 12:00:00,21.32
2024-03-09 13:00:00,23.66
2024-03-09 14:00:00,23.76
2024-03-09 15:00:00,20.73
2024-03-09 16:00:00,21.61
2024-03-09 17:00:00,21.25
2024-03-09 18:00:00,22.1
2024-03-09 19:00:00,23.66
2024-03-09 20:00:00,20.79
2024-03-09 21:00:00,23.63
2024-03-09 22:00:00,22.15
2024-03-09 23:00:00,25.49
2024-03-10 00:00:00,22.48
2024-03-10 01:00:00,-40.0
2024-03-10 02:00:00,22.86
2024-03-10 03:00:00,21.49
2024-03-10 04:00:00,19.31
2024-03-10 05:00:00,21.64
2024-03-10 06:00:00,21.62
2024-03-10 07:00:00,19.61
2024-03-10 08:00:00,21.89
2024-03-10 09:00:00,18.9
2024-03-10 10:00:00,21.48
2024-03-10 11:00:00,22.37
2024-03-10 12:00:00,22.15
2024-03-10 13:00:00,21.38
2024-03-10 14:00:00,21.87
2024-03-10 15:00:00,20.82
